JLCPCB Basic & Promotional Extended parts: $0 feeder loading fee in Economic PCBA. Fetched 2026-09-16 via the parts API
(componentLibraryType=base + preferredComponentFlag=true + searchType=2). 1586 parts: 351 Basic, 1235 Promotional Extended.
columns: LCSC# | type | MPN | brand | package | price@1 | price@100 USD | stock | description

== 555 Timers / Counters (1)
C7420353   | Promo | MMBT3904                     | hongjiacheng       | SOT-23         | 0.0117 | 0.0117 | 4722200 | -55℃~+150℃ 1 NPN 100 100nA 200mA 200mW 300MHz 300mV 40V 6V NPN SOT-23 Bipolar (BJT) ROHS
C20526     | Basic | MMBT3904(RANGE:100-300)      | Jiangsu Changjing  | SOT-23         | 0.0111 | 0.0111 |  275785 | -55℃~+150℃ 1 NPN 100 100nA 200mA 200mW 300MHz 300mV 40V 6V NPN SOT-23 Bipolar (BJT) ROHS
C364310    | Promo | MMBT3904-1AM(RANGE:100-300)  | MDD(Microdiode Sem | SOT-23         | 0.0091 | 0.0091 |  121068 | -55℃~+150℃ 1 NPN 100nA 200mA 200mW 300 300MHz 300mV 40V 6V NPN SOT-23 Bipolar (BJT) ROHS
C7420354   | Promo | MMBT3906                     | hongjiacheng       | SOT-23         | 0.0113 | 0.0113 |  799163 | -55℃~+150℃ 1 PNP 100 100nA 200mA 200mW 300MHz 300mV 40V 5V PNP SOT-23 Bipolar (BJT) ROHS
C7420355   | Promo | MMBT4401                     | hongjiacheng       | SOT-23         | 0.0167 | 0.0167 |   91489 | -55℃~+150℃ 1 NPN 100 100nA 250MHz 300mW 400mV 40V 600mA 6V NPN Standalone SOT-23 Bipolar (BJT) ROHS
C20069140  | Promo | MMBT4403                     | hongjiacheng       | SOT-23         | 0.0192 | 0.0192 |   43633 | -55℃~+150℃ 1 PNP 100 100nA 200MHz 300mW 400mV 40V 5V 600mA PNP SOT-23 Bipolar (BJT) ROHS
C7420356   | Promo | MMBT5401                     | hongjiacheng       | SOT-23         | 0.0126 | 0.0126 | 4937263 | -55℃~+150℃ 1 PNP 100 100MHz 100nA 160V 200mV 300mW 5V 600mA PNP SOT-23 Bipolar (BJT) ROHS
C8326      | Basic | MMBT5401(RANGE:200-300)      | Jiangsu Changjing  | SOT-23         | 0.0148 | 0.0148 |  732262 | -55℃~+150℃ 1 PNP 100MHz 100nA 150V 300 300mW 500mV 5V 600mA PNP SOT-23 Bipolar (BJT) ROHS
C408396    | Promo | MMBT5551                     | MDD(Microdiode Sem | SOT-23         | 0.0133 | 0.0133 | 1549811 | -55℃~+150℃ 1 NPN 160V 200mV 300 300MHz 300mW 50nA 600mA 6V NPN SOT-23 Bipolar (BJT) ROHS
C7420357   | Promo | MMBT5551                     | hongjiacheng       | SOT-23         | 0.0116 | 0.0116 | 8324674 | -55℃~+150℃ 1 NPN 100 100MHz 150mV 160V 300mW 50nA 600mA 6V NPN SOT-23 Bipolar (BJT) ROHS
C2145      | Basic | MMBT5551(RANGE:200-300)      | Jiangsu Changjing  | SOT-23         | 0.0149 | 0.0149 | 1843457 | -55℃~+150℃ 1 NPN 160V 200 200mV 300MHz 300mW 50nA 600mA 6V NPN SOT-23 Bipolar (BJT) ROHS
C41375114  | Promo | MMBTA05                      | hongjiacheng       | SOT-23         | 0.0287 | 0.0287 |   17310 | 1 NPN 100MHz 100nA 250mV 300mW 400 4V 500mA 60V NPN Standalone SOT-23 Bipolar (BJT) ROHS
C20069139  | Promo | MMBTA06                      | hongjiacheng       | SOT-23         | 0.0388 | 0.0306 |   86389 | 1 NPN 100 100MHz 100nA 200mV 300mW 4V 500mA 80V NPN SOT-23 Bipolar (BJT) ROHS
C20069138  | Promo | MMBTA42                      | hongjiacheng       | SOT-23         | 0.0275 | 0.0275 |  325181 | -55℃~+150℃ 1 NPN 100 100nA 200mV 300V 350mW 500mA 50MHz 5V NPN SOT-23 Bipolar (BJT) ROHS
C20069141  | Promo | MMBTA44                      | hongjiacheng       | SOT-23         | 0.0549 | 0.0447 |  595728 | -55℃~+150℃ 1 NPN 100nA 200mA 200mV 350mW 400V 50 50MHz 6V NPN SOT-23 Bipolar (BJT) ROHS
C41375115  | Promo | MMBTA55                      | hongjiacheng       | SOT-23         | 0.0279 | 0.0279 |   30231 | -55℃~+150℃ 1 PNP 100nA 225mW 250mV 400 4V 500mA 50MHz 60V PNP SOT-23 Bipolar (BJT) ROHS
C20069147  | Promo | MMBTA56                      | hongjiacheng       | SOT-23         | 0.0304 | 0.0304 |    9857 | -55℃~+150℃ 1 PNP 100 100nA 225mW 250mV 4V 500mA 50MHz 80V PNP SOT-23 Bipolar (BJT) ROHS
C20069146  | Promo | MMBTA92                      | hongjiacheng       | SOT-23         | 0.0278 | 0.0278 |  446503 | -55℃~+150℃ 1 PNP 100nA 200mV 300V 350mW 500mA 50MHz 5V 60 PNP SOT-23 Bipolar (BJT) ROHS
C41375113  | Promo | MMBTA94                      | hongjiacheng       | SOT-23         | 0.0480 | 0.0383 |   21990 | -55℃~+150℃ 1 PNP 100nA 200mA 200mV 300 350mW 400V 50MHz 5V PNP SOT-23 Bipolar (BJT) ROHS
C364312    | Promo | S8050                        | MDD(Microdiode Sem | SOT-23         | 0.0123 | 0.0123 | 2587415 | -55℃~+150℃ 1 NPN 100nA 150MHz 25V 300mW 400 500mA 5V 600mV NPN SOT-23 Bipolar (BJT) ROHS
C20069125  | Promo | S8050                        | hongjiacheng       | SOT-23         | 0.0116 | 0.0116 | 2840774 | -55℃~+150℃ 1 NPN 100MHz 100nA 120 25V 300mW 500mA 5V 600mV NPN SOT-23 Bipolar (BJT) ROHS
C2146      | Basic | S8050 J3Y(RANGE:200-350)     | Jiangsu Changjing  | SOT-23         | 0.0145 | 0.0145 | 1221324 | -55℃~+150℃ 1 NPN 100nA 150MHz 200 25V 300mW 500mA 5V 600mV NPN SOT-23 Bipolar (BJT) ROHS
C20069126  | Promo | S8550                        | hongjiacheng       | SOT-23         | 0.0130 | 0.0130 | 1235588 | -55℃~+150℃ 1 PNP 100nA 120 150MHz 25V 300mW 500mA 500mV 5V PNP SOT-23 Bipolar (BJT) ROHS
